Fine aggregate (kg/m3),Coarse aggregate (kg/m3),molarity,NaOh(kg/m3),Na2SiO3,GGBS,fly ash,Water,superplastisizer,curing temp,DAYS,compressive strength
437.87,937.4,16,95.86,239.64,0,550,0,0,27,28,16.26
437.87,937.4,16,95.86,239.64,0,550,0,0,60,7,29.9
437.87,937.4,16,95.86,239.64,0,550,0,0,60,28,32.83
437.87,937.4,18,95.86,239.64,0,550,0,0,27,7,9.56
437.87,937.4,18,95.86,239.64,0,550,0,0,27,28,13.8
437.87,937.4,18,95.86,239.64,0,550,0,0,60,7,14.56
437.87,937.4,18,95.86,239.64,0,550,0,0,60,28,17.52
446.91,957.69,13,95.86,239.64,110,440,0,0,27,7,14.65
446.91,957.69,13,95.86,239.64,110,440,0,0,27,28,21.5
446.91,957.69,13,95.86,239.64,110,440,0,0,60,7,37.5
446.91,957.69,13,95.86,239.64,110,440,0,0,60,28,41.3
455.59,776.26,13,95.86,239.64,220,330,0,0,27,7,18.36
455.59,776.26,13,95.86,239.64,220,330,0,0,27,28,25.6
455.59,776.26,13,95.86,239.64,220,330,0,0,60,7,33.67
455.59,776.26,13,95.86,239.64,220,330,0,0,60,28,38.4
464.27,994.87,13,95.86,239.64,330,220,0,0,27,7,27.64
464.27,994.87,13,95.86,239.64,330,220,0,0,27,28,34.4
464.27,994.87,13,95.86,239.64,330,220,0,0,60,7,27.5
464.27,994.87,13,95.86,239.64,330,220,0,0,60,28,30.6
472.95,1013.47,13,95.86,239.64,440,110,0,0,27,7,32.84
472.95,1013.47,13,95.86,239.64,440,110,0,0,27,28,38.2
472.95,1013.47,13,95.86,239.64,440,110,0,0,60,7,24.65
472.95,1013.47,13,95.86,239.64,440,110,0,0,60,28,27.4
481.21,1030.2,13,95.86,239.64,550,0,0,0,27,7,39.2
481.21,1030.2,13,95.86,239.64,550,0,0,0,27,28,43.6
481.21,1030.2,13,95.86,239.64,550,0,0,0,60,7,20.4
481.21,1030.2,13,95.86,239.64,550,0,0,0,60,28,24.3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,3,15.46
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,7,28.18
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,28,39.53
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,60,42.12
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,3,22.57
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,7,38.54
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,28,50.98
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,60,52.34
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,3,25.4
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,7,40.08
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,28,53.76
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,60,55.47
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,3,27.71
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,7,43.87
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,28,56.22
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,60,58.81
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,3,25.08
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,7,40.12
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,28,52.08
610.2,1220.35,8,46.48,116.22,40.68,366.1,0,0,25,60,54.62
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,3,18.25
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,7,30.45
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,28,42.36
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,60,44.36
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,3,25.79
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,7,39.16
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,28,54.88
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,60,56.17
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,3,28.13
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,7,44.43
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,28,56.47
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,60,58.63
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,3,31.96
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,7,47.21
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,28,58.65
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,60,60.21
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,3,27.58
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,7,43.76
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,28,56.13
610.2,1220.35,8,46.48,116.22,81.36,325.42,0,0,25,60,57.4
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,3,21.34
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,7,34.18
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,28,46.51
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,60,48.26
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,3,29.21
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,7,44.05
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,28,59.33
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,60,61.76
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,3,32.87
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,7,47.25
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,28,61.16
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,60,64.09
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,3,35.54
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,7,50.33
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,28,64.42
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,60,66.41
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,3,31.15
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,7,46.6
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,28,62.16
610.2,1220.35,8,46.48,116.22,122.03,284.74,0,0,25,60,63.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,7,15.6
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,28,28.8
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,56,40.1
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,90,42.3
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,7,22.8
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,28,38.9
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,56,51
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,90,52.4
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,7,25.5
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,28,40.2
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,56,53.8
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,90,55.7
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,7,27.8
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,28,43.9
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,56,56.7
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,90,59.2
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,7,25.1
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,28,40.3
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,56,52.5
609,1221,10,47.1,117.15,62.61,354.83,215,0,25,90,54.3
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,7,18.5
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,28,30.5
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,56,42.6
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,90,43.7
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,7,26
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,28,39.5
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,56,55.9
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,90,56.7
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,7,28.3
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,28,44.5
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,56,56.7
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,90,58.7
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,7,32.1
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,28,47.2
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,56,58.7
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,90,60.3
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,7,27.9
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,28,43.7
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,56,56.3
609,1221,10,47.1,117.15,104.36,313.08,215,0,25,90,57.4
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,7,21.4
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,28,34.8
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,56,46.5
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,90,48.6
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,7,29.3
